#numMotions
8
#motionIndex
0 0
#motionName
rest rest
#numFrames
799 799
#minListSize
138
#i j distance theta x0 z0
251 786 6.38532 -0.112371 -0.0150845 0.22883
747 290 6.38532 0.112371 -0.0106705 -0.229079
267 786 6.38643 -0.114276 -0.015276 0.233585
747 306 6.38643 0.114276 -0.0114586 -0.233803
270 786 6.3876 -0.114458 -0.0154184 0.234177
747 309 6.3876 0.114458 -0.0114273 -0.234406
267 770 6.38805 -0.121967 -0.0162086 0.245053
731 306 6.38805 0.121967 -0.013726 -0.245204
731 301 6.39307 0.121916 -0.0137143 -0.244789
262 770 6.39307 -0.121916 -0.0161573 0.24464
262 779 6.41282 -0.117265 -0.0154144 0.237664
740 301 6.41282 0.117265 -0.0124974 -0.237835
731 290 6.42217 0.120127 -0.0129129 -0.240616
251 770 6.42217 -0.120127 -0.0160152 0.240429
270 753 6.45936 -0.134305 -0.019356 0.266278
714 309 6.45936 0.134305 -0.0164733 -0.266471
714 301 6.48089 0.134088 -0.0164791 -0.265484
262 753 6.48089 -0.134088 -0.0191606 0.265304
414 164 9.87872 0.146744 -0.00994303 -0.273592
125 453 9.87872 -0.146744 -0.0301677 0.272105
410 168 9.88152 0.146534 -0.00997722 -0.273845
129 449 9.88152 -0.146534 -0.0301139 0.272367
177 453 9.89525 -0.157853 -0.0351175 0.297465
414 216 9.89525 0.157853 -0.0120801 -0.299287
410 216 9.90834 0.157355 -0.0121895 -0.29873
177 449 9.90834 -0.157355 -0.0347741 0.296949
157 453 9.93154 -0.152182 -0.0329502 0.285044
414 196 9.93154 0.152182 -0.0106419 -0.286744
#motionIndex
0 1
#motionName
rest walk
#numFrames
799 343
#minListSize
179
#i j distance theta x0 z0
478 57 253.57 1.85739 -0.530799 0.127375
488 57 253.799 1.85132 -0.531412 0.136208
728 58 254.425 1.78021 -0.566006 0.231324
754 58 254.472 1.76493 -0.568812 0.247066
757 58 254.485 1.76281 -0.569127 0.249559
506 57 255.382 1.84557 -0.532026 0.14425
643 57 255.824 1.82722 -0.541436 0.168163
651 57 255.879 1.82202 -0.543143 0.175693
531 57 255.938 1.84538 -0.53195 0.143011
518 57 255.967 1.84522 -0.531949 0.14422
634 57 256.042 1.83289 -0.539445 0.159829
701 57 256.119 1.79348 -0.552719 0.214984
691 57 256.124 1.79828 -0.551293 0.208854
686 57 256.179 1.80077 -0.550459 0.205544
418 57 256.189 1.8473 -0.537224 0.143161
429 57 256.227 1.85362 -0.534979 0.13428
663 57 256.263 1.81502 -0.545671 0.185674
546 57 256.297 1.84465 -0.532243 0.143204
551 57 256.329 1.8444 -0.532434 0.143341
574 57 256.33 1.8436 -0.53331 0.144168
614 57 256.375 1.84161 -0.53594 0.14687
611 57 256.382 1.84249 -0.535533 0.145575
671 57 256.394 1.81036 -0.547346 0.192276
578 57 256.397 1.84406 -0.533408 0.143467
601 57 256.413 1.84444 -0.534431 0.142692
620 57 256.446 1.83961 -0.536825 0.149835
592 57 256.454 1.84469 -0.533862 0.142373
